nombre,principio,forma,tipo
AMOXICILINA 750 mg comprimido,AMOXICILINA,comprimido,pastilla
AMOXICILINA 750 mg comprimido dispersable,AMOXICILINA,comprimido dispersable,pastilla
AMOXICILINA 750 mg/5 ml polvo para suspensión oral,AMOXICILINA,polvo para suspensión oral,ml
AMOXICILINA 800 mg/5 ml polvo para suspensión oral,AMOXICILINA,polvo para suspensión oral,ml
AMOXICILINA 875 mg + ERDOSTEINA 300 mg comprimido dispersable,AMOXICILINA,comprimido dispersable,pastilla
AMOXICILINA 875 mg + SULBACTAM (pivoxil) 125 mg comprimido,AMOXICILINA,comprimido,pastilla
AMOXICILINA 875 mg comprimido,AMOXICILINA,comprimido,pastilla
AMOXICILINA 875 mg comprimido masticable,AMOXICILINA,comprimido masticable,pastilla
AMPICILINA (benzatina) 200 mg/3 ml + AMPICILINA (sódica) 50 mg/3 ml polvo y disolvente para suspensión inyectable,AMPICILINA (benzatina),polvo y disolvente para suspensión inyectable,ml
AMPICILINA (benzatina) 400 mg/4 ml + AMPICILINA (sódica) 100 mg/4 ml polvo y disolvente para suspensión inyectable,AMPICILINA (benzatina),polvo y disolvente para suspensión inyectable,ml
AMPICILINA (benzatina) 800 mg/5 ml + AMPICILINA (sódica) 200 mg/5 ml polvo y disolvente para suspensión inyectable,AMPICILINA (benzatina),polvo y disolvente para suspensión inyectable,ml
AMPICILINA (sódica) 1 g + SULBACTAM (sódico) 500 mg polvo para solución inyectable,AMPICILINA (sódica),polvo para solución inyectable,ml
AMPICILINA (sódica) 1 g + SULBACTAM (sódico) 500 mg polvo y disolvente para solución inyectable,AMPICILINA (sódica),polvo y disolvente para solución inyectable,ml
AMPICILINA (sódica) 1 g polvo para solución inyectable,AMPICILINA (sódica),polvo para solución inyectable,ml
AMPICILINA (sódica) 1 g polvo y disolvente para solución inyectable,AMPICILINA (sódica),polvo y disolvente para solución inyectable,ml
AMPICILINA (sódica) 125 mg/2 ml polvo y disolvente para solución inyectable,AMPICILINA (sódica),polvo y disolvente para solución inyectable,ml
AMPICILINA (sódica) 2 g + SULBACTAM (sódico) 1 g polvo para solución inyectable,AMPICILINA (sódica),polvo para solución inyectable,ml
AMPICILINA (sódica) 2 g polvo para solución inyectable,AMPICILINA (sódica),polvo para solución inyectable,ml
AMPICILINA (sódica) 250 mg + CLOXACILINA (sódica) 250 mg polvo para solución inyectable,AMPICILINA (sódica),polvo para solución inyectable,ml
AMPICILINA (sódica) 250 mg polvo para solución inyectable,AMPICILINA (sódica),polvo para solución inyectable,ml
AMPICILINA (sódica) 250 mg/2 ml polvo y disolvente para solución inyectable,AMPICILINA (sódica),polvo y disolvente para solución inyectable,ml
AMPICILINA (sódica) 500 mg + SULBACTAM (sódico) 250 mg polvo para solución inyectable,AMPICILINA (sódica),polvo para solución inyectable,ml
AMPICILINA (sódica) 500 mg polvo para solución inyectable,AMPICILINA (sódica),polvo para solución inyectable,ml
AMPICILINA (sódica) 500 mg polvo y disolvente para solución inyectable,AMPICILINA (sódica),polvo y disolvente para solución inyectable,ml
AMPICILINA (sódica) 500 mg/2 ml polvo y disolvente para solución inyectable,AMPICILINA (sódica),polvo y disolvente para solución inyectable,ml
AMPICILINA 1 g comprimido,AMPICILINA,comprimido,pastilla
AMPICILINA 125 mg/5 ml + CLOXACILINA (sódica) 125 mg/5 ml polvo para suspensión oral,AMPICILINA,polvo para suspensión oral,ml
AMPICILINA 125 mg/5 ml granulado para suspensión oral,AMPICILINA,granulado para suspensión oral,ml
AMPICILINA 250 mg + CLOXACILINA (sódica) 250 mg cápsula dura,AMPICILINA,cápsula dura,pastilla
AMPICILINA 250 mg cápsula dura,AMPICILINA,cápsula dura,pastilla
AMPICILINA 250 mg/5 ml granulado para suspensión oral,AMPICILINA,granulado para suspensión oral,ml
AMPICILINA 250 mg/5 ml polvo para suspensión oral,AMPICILINA,polvo para suspensión oral,ml
AMPICILINA 500 mg comprimido,AMPICILINA,comprimido,pastilla
AMPICILINA 500 mg cápsula dura,AMPICILINA,cápsula dura,pastilla
AMPICILINA 500 mg/5 ml polvo para suspensión oral,AMPICILINA,polvo para suspensión oral,ml
AMPRENAVIR 15 mg/ml solución oral,AMPRENAVIR,solución oral,ml
AMPRENAVIR 150 mg cápsula blanda,AMPRENAVIR,cápsula blanda,pastilla
AMPRENAVIR 50 mg cápsula blanda,AMPRENAVIR,cápsula blanda,pastilla
AMRINONA LACTATO 5 mg/ml solución inyectable,AMRINONA LACTATO,solución inyectable,ml
AMSACRINA 75 mg concentrado y disolvente para solución para perfusión,AMSACRINA,concentrado y disolvente para solución para perfusión,ml
AMSACRINA 75 mg polvo para solución para perfusión,AMSACRINA,polvo para solución para perfusión,ml
"ANAGRELIDA (hidrocloruro) 0,5 mg cápsula dura",ANAGRELIDA (hidrocloruro),cápsula dura,pastilla
ANAGRELIDA (hidrocloruro) 1 mg cápsula dura,ANAGRELIDA (hidrocloruro),cápsula dura,pastilla
"ANAKINRA 100 mg/0,67 ml solución inyectable en jeringa precargada",ANAKINRA,solución inyectable en jeringa precargada,ml
ANASTROZOL 1 mg comprimido,ANASTROZOL,comprimido,pastilla
"ANDROSTANOLONA 2,5 % gel",ANDROSTANOLONA,gel,otro
"ANETOL TRITIONA 12,5 mg comprimido",ANETOL TRITIONA,comprimido,pastilla
ANETOL TRITIONA 25 mg comprimido,ANETOL TRITIONA,comprimido,pastilla
ANFETAMINA SULFATO 10 mg comprimido,ANFETAMINA SULFATO,comprimido,pastilla
ANIDULAFUNGINA 100 mg polvo para concentrado para solución para perfusión,ANIDULAFUNGINA,polvo para concentrado para solución para perfusión,ml
ANIDULAFUNGINA 100 mg polvo y disolvente para concentrado para solución para perfusión,ANIDULAFUNGINA,polvo y disolvente para concentrado para solución para perfusión,ml
"ANTAZOLINA CLORHIDRATO 0,05 % + TETRIZOLINA CLORHIDRATO 0,04 % colirio en solución",ANTAZOLINA CLORHIDRATO,colirio en solución,ml
"ANTAZOLINA FOSFATO 0,15 mg/ml + TETRIZOLINA CLORHIDRATO 0,5 mg/ml colirio en solución",ANTAZOLINA FOSFATO,colirio en solución,ml
"ANTAZOLINA FOSFATO 0,5 % + NAFAZOLINA CLORHIDRATO 0,025 % colirio en solución",ANTAZOLINA FOSFATO,colirio en solución,ml
"ANTAZOLINA FOSFATO 0,5 % + NAFAZOLINA CLORHIDRATO 0,025 % solución nasal y oftálmica",ANTAZOLINA FOSFATO,solución nasal y oftálmica,ml
"ANTAZOLINA FOSFATO 0,5 % + NAFAZOLINA CLORHIDRATO 0,05 % colirio en solución",ANTAZOLINA FOSFATO,colirio en solución,ml
"ANTAZOLINA FOSFATO 0,5 % + NAFAZOLINA CLORHIDRATO 0,1 % colirio en solución",ANTAZOLINA FOSFATO,colirio en solución,ml
"ANTAZOLINA SULFATO 0,5 % + NAFAZOLINA NITRATO 0,025 % colirio en solución",ANTAZOLINA SULFATO,colirio en solución,ml
"ANTAZOLINA SULFATO 0,5 % + NAFAZOLINA NITRATO 0,025 % gotas nasales en solución",ANTAZOLINA SULFATO,gotas nasales en solución,ml
"ANTAZOLINA SULFATO 0,5 % + NAFAZOLINA NITRATO 0,05 % gotas nasales en solución",ANTAZOLINA SULFATO,gotas nasales en solución,ml
ANTITROMBINA III HUMANA 100 UI/ml polvo y disolvente para solución inyectable,ANTITROMBINA III HUMANA,polvo y disolvente para solución inyectable,ml
ANTITROMBINA III HUMANA 50 UI/ml polvo y disolvente para solución inyectable,ANTITROMBINA III HUMANA,polvo y disolvente para solución inyectable,ml
APALUTAMIDA 60 mg comprimido,APALUTAMIDA,comprimido,pastilla
"APIXABAN 2,5 mg comprimido",APIXABAN,comprimido,pastilla
APIXABAN 5 mg comprimido,APIXABAN,comprimido,pastilla
APOMORFINA CLORHIDRATO 10 mg/ml solución inyectable en cartucho,APOMORFINA CLORHIDRATO,solución inyectable en cartucho,ml
APOMORFINA CLORHIDRATO 10 mg/ml solución para perfusión subcutánea,APOMORFINA CLORHIDRATO,solución para perfusión subcutánea,ml
APOMORFINA CLORHIDRATO 2 mg comprimido sublingual,APOMORFINA CLORHIDRATO,comprimido sublingual,pastilla
APOMORFINA CLORHIDRATO 3 mg comprimido sublingual,APOMORFINA CLORHIDRATO,comprimido sublingual,pastilla
APOMORFINA CLORHIDRATO 30 mg/3 ml solución inyectable en pluma precargada,APOMORFINA CLORHIDRATO,solución inyectable en pluma precargada,ml
APOMORFINA CLORHIDRATO 5 mg/ml solución para perfusión subcutánea,APOMORFINA CLORHIDRATO,solución para perfusión subcutánea,ml
"APRACLONIDINA (hidrocloruro) 0,5 % colirio en solución",APRACLONIDINA (hidrocloruro),colirio en solución,ml
APRACLONIDINA (hidrocloruro) 1 % colirio en solución en envase unidosis,APRACLONIDINA (hidrocloruro),colirio en solución en envase unidosis,ml
APREMILAST 10 mg comprimido,APREMILAST,comprimido,pastilla
APREMILAST 20 mg comprimido,APREMILAST,comprimido,pastilla
APREMILAST 30 mg comprimido,APREMILAST,comprimido,pastilla
APREPITANT 125 mg cápsula dura,APREPITANT,cápsula dura,pastilla
APREPITANT 125 mg polvo para suspensión oral en sobre,APREPITANT,polvo para suspensión oral en sobre,ml
APREPITANT 80 mg cápsula dura,APREPITANT,cápsula dura,pastilla
"APROTININA 0,5 M UIC/50 ml solución inyectable",APROTININA,solución inyectable,ml
APROTININA 1 M UIC/100 ml solución inyectable,APROTININA,solución inyectable,ml
ARGATROBAN 100 mg/ml concentrado para solución para perfusión,ARGATROBAN,concentrado para solución para perfusión,ml
ARGININA CLORHIDRATO 1 g/5 ml solución oral,ARGININA CLORHIDRATO,solución oral,ml
ARGININA CLORHIDRATO 10 % solución inyectable,ARGININA CLORHIDRATO,solución inyectable,ml
ARGININA CLORHIDRATO 250 mg + PIRIDOXINA CLORHIDRATO 20 mg + TIAMINA CLORHIDRATO 100 mg comprimido,ARGININA CLORHIDRATO,comprimido,pastilla
ARGININA CLORHIDRATO 918 mg/5 ml solución oral,ARGININA CLORHIDRATO,solución oral,ml
ARGININA GLUTAMATO 3 g polvo para solución oral en sobre,ARGININA GLUTAMATO,polvo para solución oral en sobre,ml
ARGININA GLUTAMATO 3 g/10 ml solución oral,ARGININA GLUTAMATO,solución oral,ml
"ARGININA OXOGLURATO 1,5 g comprimido efervescente",ARGININA OXOGLURATO,comprimido efervescente,pastilla
ARGININA TIDIACICATO 100 mg cápsula dura,ARGININA TIDIACICATO,cápsula dura,pastilla
ARIPIPRAZOL 1 mg/ml solución oral,ARIPIPRAZOL,solución oral,ml
ARIPIPRAZOL 10 mg comprimido,ARIPIPRAZOL,comprimido,pastilla
ARIPIPRAZOL 10 mg comprimido bucodispersable,ARIPIPRAZOL,comprimido bucodispersable,pastilla
ARIPIPRAZOL 15 mg comprimido,ARIPIPRAZOL,comprimido,pastilla
ARIPIPRAZOL 15 mg comprimido bucodispersable,ARIPIPRAZOL,comprimido bucodispersable,pastilla
ARIPIPRAZOL 20 mg comprimido,ARIPIPRAZOL,comprimido,pastilla
ARIPIPRAZOL 30 mg comprimido,ARIPIPRAZOL,comprimido,pastilla
ARIPIPRAZOL 30 mg comprimido bucodispersable,ARIPIPRAZOL,comprimido bucodispersable,pastilla
ARIPIPRAZOL 300 mg polvo y disolvente para suspensión de liberación prolongada inyectable,ARIPIPRAZOL,polvo y disolvente para suspensión de liberación prolongada inyectable,ml
ARIPIPRAZOL 400 mg polvo y disolvente para suspensión de liberación prolongada inyectable,ARIPIPRAZOL,polvo y disolvente para suspensión de liberación prolongada inyectable,ml
ARIPIPRAZOL 400 mg polvo y disolvente para suspensión de liberación prolongada inyectable en jeringa precargada,ARIPIPRAZOL,polvo y disolvente para suspensión de liberación prolongada inyectable en jeringa precargada,ml
ARIPIPRAZOL 5 mg comprimido,ARIPIPRAZOL,comprimido,pastilla
"ARIPIPRAZOL 7,5 mg/ml solución inyectable",ARIPIPRAZOL,solución inyectable,ml
ARMODAFINILO 150 mg comprimido,ARMODAFINILO,comprimido,pastilla
ARMODAFINILO 200 mg comprimido,ARMODAFINILO,comprimido,pastilla
ARMODAFINILO 250 mg comprimido,ARMODAFINILO,comprimido,pastilla
ARMODAFINILO 50 mg comprimido,ARMODAFINILO,comprimido,pastilla
ARSENICO TRIOXIDO 1 mg/ml concentrado para solución para perfusión,ARSENICO TRIOXIDO,concentrado para solución para perfusión,ml
ARSENICO TRIOXIDO 30 % + EFEDRINA CLORHIDRATO 1 % + LIDOCAINA 30 % pasta dental,ARSENICO TRIOXIDO,pasta dental,otro
ARTEMETERO 20 mg + LUMEFANTRINA 120 mg comprimido,ARTEMETERO,comprimido,pastilla
ARTEMETERO 20 mg + LUMEFANTRINA 120 mg comprimido dispersable,ARTEMETERO,comprimido dispersable,pastilla
ARTENIMOL 40 mg + PIPERAQUINA TETRAFOSFATO 320 mg comprimido,ARTENIMOL,comprimido,pastilla
ARTESUNATO 50 mg comprimido,ARTESUNATO,comprimido,pastilla
ARTICAINA CLORHIDRATO 4 % solución inyectable para uso dental,ARTICAINA CLORHIDRATO,solución inyectable para uso dental,ml
ASCORBATO CALCICO 100 mg polvo para solución oral en sobre,ASCORBATO CALCICO,polvo para solución oral en sobre,ml
ASCORBATO CALCICO 36 mg + BROMFENIRAMINA MALEATO 3 mg + CAFEINA 10 mg + PARACETAMOL 250 mg comprimido,ASCORBATO CALCICO,comprimido,pastilla
ASENAPINA (maleato) 10 mg comprimido sublingual,ASENAPINA (maleato),comprimido sublingual,pastilla
ASENAPINA (maleato) 5 mg comprimido sublingual,ASENAPINA (maleato),comprimido sublingual,pastilla
ASFOTASA ALFA 100 mg/ml solución inyectable,ASFOTASA ALFA,solución inyectable,ml
ASFOTASA ALFA 40 mg/ml solución inyectable,ASFOTASA ALFA,solución inyectable,ml
ASPARAGINASA 10.000 UI polvo para solución inyectable,ASPARAGINASA,polvo para solución inyectable,ml
"ASPARAGINASA 10.000 UI/2,5 ml polvo y disolvente para solución inyectable",ASPARAGINASA,polvo y disolvente para solución inyectable,ml
ASPARAGINASA 5.000 UI polvo para solución inyectable,ASPARAGINASA,polvo para solución inyectable,ml
ASPARTATO ARGININA 1 g comprimido efervescente,ASPARTATO ARGININA,comprimido efervescente,pastilla
ASPARTATO ARGININA 1 g comprimido masticable,ASPARTATO ARGININA,comprimido masticable,pastilla
ASPARTATO ARGININA 1 g/10 ml solución oral,ASPARTATO ARGININA,solución oral,ml
ASPARTATO ARGININA 1 g/5 ml solución oral,ASPARTATO ARGININA,solución oral,ml
ASPARTATO ARGININA 5 g polvo para solución oral en sobre,ASPARTATO ARGININA,polvo para solución oral en sobre,ml
ASPARTATO ARGININA 5 g/10 ml solución oral,ASPARTATO ARGININA,solución oral,ml
ASPARTATO ARGININA 500 mg cápsula dura,ASPARTATO ARGININA,cápsula dura,pastilla
ASPARTATO ARGININA 500 mg/5 ml solución oral,ASPARTATO ARGININA,solución oral,ml
ASPARTATO POTASICO 250 mg + ASPARTATO MAGNESICO 250 mg comprimido,ASPARTATO POTASICO,comprimido,pastilla
ASTEMIZOL 10 mg comprimido,ASTEMIZOL,comprimido,pastilla
ASTEMIZOL 2 mg/ml suspensión oral,ASTEMIZOL,suspensión oral,ml
ASUNAPREVIR 100 mg cápsula blanda,ASUNAPREVIR,cápsula blanda,pastilla
ATALURENO 1.000 mg granulado para suspensión oral en sobre,ATALURENO,granulado para suspensión oral en sobre,ml
ATALURENO 125 mg granulado para suspensión oral en sobre,ATALURENO,granulado para suspensión oral en sobre,ml
ATALURENO 250 mg granulado para suspensión oral en sobre,ATALURENO,granulado para suspensión oral en sobre,ml
ATAPULGITA 100 mg/ml + NIFUROXAZIDA 40 mg/ml suspensión oral,ATAPULGITA,suspensión oral,ml
"ATAPULGITA 2,5 g + ALUMINIO HIDROXIDO-MAGNESIO CARBONATO, COPRECIPITADO 0,5 g polvo para suspensión oral en sobre",ATAPULGITA,polvo para suspensión oral en sobre,ml
ATAPULGITA 3 g polvo para suspensión oral en sobre,ATAPULGITA,polvo para suspensión oral en sobre,ml
ATAPULGITA 350 mg + NIFUROXAZIDA 200 mg comprimido,ATAPULGITA,comprimido,pastilla
ATAPULGITA 40 mg/ml suspensión oral,ATAPULGITA,suspensión oral,ml
ATAPULGITA 750 mg comprimido,ATAPULGITA,comprimido,pastilla
ATAPULGITA 850 mg + GOMA GUAR 200 mg granulado,ATAPULGITA,granulado,pastilla
ATAZANAVIR (sulfato) 100 mg cápsula dura,ATAZANAVIR (sulfato),cápsula dura,pastilla
ATAZANAVIR (sulfato) 150 mg cápsula dura,ATAZANAVIR (sulfato),cápsula dura,pastilla
ATAZANAVIR (sulfato) 200 mg cápsula dura,ATAZANAVIR (sulfato),cápsula dura,pastilla
ATAZANAVIR (sulfato) 300 mg + COBICISTAT 150 mg comprimido,ATAZANAVIR (sulfato),comprimido,pastilla
ATAZANAVIR (sulfato) 300 mg cápsula dura,ATAZANAVIR (sulfato),cápsula dura,pastilla
ATAZANAVIR (sulfato) 50 mg polvo para solución oral en sobre,ATAZANAVIR (sulfato),polvo para solución oral en sobre,ml
ATENOLOL 100 mg + BENDROFLUMETIAZIDA 5 mg comprimido,ATENOLOL,comprimido,pastilla
ATENOLOL 100 mg + CLORTALIDONA 25 mg comprimido,ATENOLOL,comprimido,pastilla
ATENOLOL 100 mg comprimido,ATENOLOL,comprimido,pastilla
ATENOLOL 25 mg + NIFEDIPINO 10 mg cápsula dura de liberación prolongada,ATENOLOL,cápsula dura de liberación prolongada,pastilla
ATENOLOL 25 mg comprimido,ATENOLOL,comprimido,pastilla
ATENOLOL 5 mg/10 ml solución inyectable,ATENOLOL,solución inyectable,ml
"ATENOLOL 50 mg + CLORTALIDONA 12,5 mg comprimido",ATENOLOL,comprimido,pastilla
ATENOLOL 50 mg + NIFEDIPINO 20 mg cápsula dura,ATENOLOL,cápsula dura,pastilla
ATENOLOL 50 mg comprimido,ATENOLOL,comprimido,pastilla
ATEZOLIZUMAB 60 mg/ml concentrado para solución para perfusión,ATEZOLIZUMAB,concentrado para solución para perfusión,ml
ATOMOXETINA (hidrocloruro) 10 mg cápsula dura,ATOMOXETINA (hidrocloruro),cápsula dura,pastilla
ATOMOXETINA (hidrocloruro) 100 mg cápsula dura,ATOMOXETINA (hidrocloruro),cápsula dura,pastilla
ATOMOXETINA (hidrocloruro) 18 mg cápsula dura,ATOMOXETINA (hidrocloruro),cápsula dura,pastilla
ATOMOXETINA (hidrocloruro) 25 mg cápsula dura,ATOMOXETINA (hidrocloruro),cápsula dura,pastilla
ATOMOXETINA (hidrocloruro) 4 mg/ml solución oral,ATOMOXETINA (hidrocloruro),solución oral,ml
ATOMOXETINA (hidrocloruro) 40 mg comprimido,ATOMOXETINA (hidrocloruro),comprimido,pastilla
ATOMOXETINA (hidrocloruro) 40 mg cápsula dura,ATOMOXETINA (hidrocloruro),cápsula dura,pastilla
ATOMOXETINA (hidrocloruro) 60 mg cápsula dura,ATOMOXETINA (hidrocloruro),cápsula dura,pastilla
ATOMOXETINA (hidrocloruro) 80 mg comprimido,ATOMOXETINA (hidrocloruro),comprimido,pastilla
ATOMOXETINA (hidrocloruro) 80 mg cápsula dura,ATOMOXETINA (hidrocloruro),cápsula dura,pastilla
ATORVASTATINA (cálcica) 10 mg + EZETIMIBA 10 mg comprimido,ATORVASTATINA (cálcica),comprimido,pastilla
ATORVASTATINA (cálcica) 10 mg comprimido,ATORVASTATINA (cálcica),comprimido,pastilla
ATORVASTATINA (cálcica) 10 mg comprimido masticable,ATORVASTATINA (cálcica),comprimido masticable,pastilla
ATORVASTATINA (cálcica) 20 mg + EZETIMIBA 10 mg comprimido,ATORVASTATINA (cálcica),comprimido,pastilla
ATORVASTATINA (cálcica) 20 mg comprimido,ATORVASTATINA (cálcica),comprimido,pastilla
ATORVASTATINA (cálcica) 20 mg comprimido masticable,ATORVASTATINA (cálcica),comprimido masticable,pastilla
ATORVASTATINA (cálcica) 30 mg comprimido,ATORVASTATINA (cálcica),comprimido,pastilla
ATORVASTATINA (cálcica) 40 mg + EZETIMIBA 10 mg comprimido,ATORVASTATINA (cálcica),comprimido,pastilla
ATORVASTATINA (cálcica) 40 mg comprimido,ATORVASTATINA (cálcica),comprimido,pastilla
ATORVASTATINA (cálcica) 40 mg comprimido masticable,ATORVASTATINA (cálcica),comprimido masticable,pastilla
ATORVASTATINA (cálcica) 5 mg comprimido masticable,ATORVASTATINA (cálcica),comprimido masticable,pastilla
ATORVASTATINA (cálcica) 60 mg comprimido,ATORVASTATINA (cálcica),comprimido,pastilla
ATORVASTATINA (cálcica) 80 mg + EZETIMIBA 10 mg comprimido,ATORVASTATINA (cálcica),comprimido,pastilla
ATORVASTATINA (cálcica) 80 mg comprimido,ATORVASTATINA (cálcica),comprimido,pastilla
ATORVASTATINA (magnesio) 10 mg comprimido,ATORVASTATINA (magnesio),comprimido,pastilla
ATORVASTATINA (magnesio) 20 mg comprimido,ATORVASTATINA (magnesio),comprimido,pastilla
ATORVASTATINA (magnesio) 40 mg comprimido,ATORVASTATINA (magnesio),comprimido,pastilla
ATORVASTATINA 10 mg cápsula blanda,ATORVASTATINA,cápsula blanda,pastilla
ATORVASTATINA 20 mg cápsula blanda,ATORVASTATINA,cápsula blanda,pastilla
ATORVASTATINA 40 mg cápsula blanda,ATORVASTATINA,cápsula blanda,pastilla
"ATOSIBAN (acetato) 7,5 mg/ml concentrado para solución para perfusión",ATOSIBAN (acetato),concentrado para solución para perfusión,ml
"ATOSIBAN (acetato) 7,5 mg/ml solución inyectable",ATOSIBAN (acetato),solución inyectable,ml
ATOVACUONA 150 mg/ml suspensión oral,ATOVACUONA,suspensión oral,ml
ATOVACUONA 250 mg + PROGUANIL CLORHIDRATO 100 mg comprimido,ATOVACUONA,comprimido,pastilla
"ATOVACUONA 62,5 mg + PROGUANIL CLORHIDRATO 25 mg comprimido",ATOVACUONA,comprimido,pastilla
ATRACURIO BESILATO 10 mg/ml solución inyectable,ATRACURIO BESILATO,solución inyectable,ml
ATRACURIO BESILATO 10 mg/ml solución inyectable y para perfusión,ATRACURIO BESILATO,solución inyectable y para perfusión,ml
AURANOFINA 3 mg comprimido,AURANOFINA,comprimido,pastilla
AUROTIOMALATO SODICO 10 % solución inyectable,AUROTIOMALATO SODICO,solución inyectable,ml
AUROTIOMALATO SODICO 2 % solución inyectable,AUROTIOMALATO SODICO,solución inyectable,ml
AUROTIOMALATO SODICO 4 % solución inyectable,AUROTIOMALATO SODICO,solución inyectable,ml
AUROTIOMALATO SODICO 5 % solución inyectable,AUROTIOMALATO SODICO,solución inyectable,ml
AUROTIOPROPANOLSULFONATO SODICO 100 mg/2 ml solución inyectable,AUROTIOPROPANOLSULFONATO SODICO,solución inyectable,ml
AUROTIOPROPANOLSULFONATO SODICO 25 mg/2 ml solución inyectable,AUROTIOPROPANOLSULFONATO SODICO,solución inyectable,ml
AUROTIOPROPANOLSULFONATO SODICO 50 mg/2 ml solución inyectable,AUROTIOPROPANOLSULFONATO SODICO,solución inyectable,ml
AVANAFILO 100 mg comprimido,AVANAFILO,comprimido,pastilla
AVANAFILO 200 mg comprimido,AVANAFILO,comprimido,pastilla
AVANAFILO 50 mg comprimido,AVANAFILO,comprimido,pastilla
AVELUMAB 20 mg/ml concentrado para solución para perfusión,AVELUMAB,concentrado para solución para perfusión,ml
"AVIBACTAM (sódico) 0,5 g + CEFTAZIDIMA 2 g polvo para concentrado para solución para perfusión",AVIBACTAM (sódico),polvo para concentrado para solución para perfusión,ml
AXITINIB 1 mg comprimido,AXITINIB,comprimido,pastilla
AXITINIB 3 mg comprimido,AXITINIB,comprimido,pastilla
AXITINIB 5 mg comprimido,AXITINIB,comprimido,pastilla
AXITINIB 7 mg comprimido,AXITINIB,comprimido,pastilla
AZACITIDINA 100 mg polvo para suspensión inyectable,AZACITIDINA,polvo para suspensión inyectable,ml
"AZAPENTACENO SULFONATO SODICO 0,015 % colirio en solución",AZAPENTACENO SULFONATO SODICO,colirio en solución,ml
"AZATADINA MALEATO 0,2 mg/ml + PSEUDOEFEDRINA SULFATO 6 mg/ml jarabe",AZATADINA MALEATO,jarabe,ml
"AZATADINA MALEATO 0,5 mg/ml jarabe",AZATADINA MALEATO,jarabe,ml
AZATADINA MALEATO 1 mg + PSEUDOEFEDRINA SULFATO 120 mg comprimido de liberación modificada,AZATADINA MALEATO,comprimido de liberación modificada,pastilla
AZATADINA MALEATO 1 mg comprimido,AZATADINA MALEATO,comprimido,pastilla
AZATIOPRINA 100 mg comprimido,AZATIOPRINA,comprimido,pastilla
AZATIOPRINA 100 mg polvo para solución inyectable,AZATIOPRINA,polvo para solución inyectable,ml
AZATIOPRINA 25 mg comprimido,AZATIOPRINA,comprimido,pastilla
AZATIOPRINA 50 mg comprimido,AZATIOPRINA,comprimido,pastilla
AZATIOPRINA 50 mg polvo para solución inyectable,AZATIOPRINA,polvo para solución inyectable,ml
AZATIOPRINA 75 mg comprimido,AZATIOPRINA,comprimido,pastilla
"AZELASTINA (hidrocloruro) 0,127 mg/dosis solución para pulverización nasal",AZELASTINA (hidrocloruro),solución para pulverización nasal,ml
"AZELASTINA (hidrocloruro) 0,14 mg/dosis solución para pulverización nasal",AZELASTINA (hidrocloruro),solución para pulverización nasal,ml
"AZELASTINA (hidrocloruro) 0,19 mg/dosis solución para pulverización nasal",AZELASTINA (hidrocloruro),solución para pulverización nasal,ml
"AZELASTINA CLORHIDRATO 0,05 % colirio en solución",AZELASTINA CLORHIDRATO,colirio en solución,ml
AZELASTINA CLORHIDRATO 137 µg/dosis + FLUTICASONA PROPIONATO 50 µg/dosis suspensión para pulverización nasal,AZELASTINA CLORHIDRATO,suspensión para pulverización nasal,ml
"AZILSARTAN MEDOXOMILO (potásico) 20 mg + CLORTALIDONA 12,5 mg comprimido",AZILSARTAN MEDOXOMILO (potásico),comprimido,pastilla
AZILSARTAN MEDOXOMILO (potásico) 20 mg comprimido,AZILSARTAN MEDOXOMILO (potásico),comprimido,pastilla
"AZILSARTAN MEDOXOMILO (potásico) 40 mg + CLORTALIDONA 12,5 mg comprimido",AZILSARTAN MEDOXOMILO (potásico),comprimido,pastilla
AZILSARTAN MEDOXOMILO (potásico) 40 mg + CLORTALIDONA 25 mg comprimido,AZILSARTAN MEDOXOMILO (potásico),comprimido,pastilla
AZILSARTAN MEDOXOMILO (potásico) 40 mg comprimido,AZILSARTAN MEDOXOMILO (potásico),comprimido,pastilla
"AZILSARTAN MEDOXOMILO (potásico) 80 mg + CLORTALIDONA 12,5 mg comprimido",AZILSARTAN MEDOXOMILO (potásico),comprimido,pastilla
AZILSARTAN MEDOXOMILO (potásico) 80 mg comprimido,AZILSARTAN MEDOXOMILO (potásico),comprimido,pastilla
"AZINTAMIDA 50 mg + CELULASA 10,1 mg + PANCREATINA 100 mg comprimido",AZINTAMIDA,comprimido,pastilla
AZITROMICINA 1 % colirio en solución,AZITROMICINA,colirio en solución,ml
AZITROMICINA 1 g polvo para suspensión oral en sobre,AZITROMICINA,polvo para suspensión oral en sobre,ml
"AZITROMICINA 1,5 % colirio en solución en envase unidosis",AZITROMICINA,colirio en solución en envase unidosis,ml
AZITROMICINA 150 mg polvo para suspensión oral en sobre,AZITROMICINA,polvo para suspensión oral en sobre,ml
AZITROMICINA 2 g granulado de liberación prolongada,AZITROMICINA,granulado de liberación prolongada,pastilla
"AZITROMICINA 250 mg + FLUCONAZOL 37,5 mg + TINIDAZOL 500 mg comprimido",AZITROMICINA,comprimido,pastilla
AZITROMICINA 250 mg comprimido,AZITROMICINA,comprimido,pastilla
AZITROMICINA 250 mg comprimido dispersable,AZITROMICINA,comprimido dispersable,pastilla
AZITROMICINA 250 mg cápsula dura,AZITROMICINA,cápsula dura,pastilla
