nombre,principio,forma,tipo
ACETATO CALCICO 667 mg cápsula dura,ACETATO CALCICO,cápsula dura,pastilla
ACETATO CALCICO 700 mg comprimido,ACETATO CALCICO,comprimido,pastilla
ACETATO CALCICO 950 mg comprimido,ACETATO CALCICO,comprimido,pastilla
ACETATO DE FLECAINIDA 10 mg/ml solución inyectable,ACETATO DE FLECAINIDA,solución inyectable,ml
ACETATO DE FLECAINIDA 100 mg comprimido,ACETATO DE FLECAINIDA,comprimido,pastilla
ACETATO DE FLECAINIDA 100 mg cápsula dura de liberación prolongada,ACETATO DE FLECAINIDA,cápsula dura de liberación prolongada,pastilla
ACETATO DE FLECAINIDA 150 mg cápsula dura de liberación prolongada,ACETATO DE FLECAINIDA,cápsula dura de liberación prolongada,pastilla
ACETATO DE FLECAINIDA 200 mg cápsula dura de liberación prolongada,ACETATO DE FLECAINIDA,cápsula dura de liberación prolongada,pastilla
ACETATO DE FLECAINIDA 50 mg comprimido,ACETATO DE FLECAINIDA,comprimido,pastilla
ACETATO DE FLECAINIDA 50 mg cápsula dura de liberación prolongada,ACETATO DE FLECAINIDA,cápsula dura de liberación prolongada,pastilla
ACETATO SODICO 1.361 mg/10 ml concentrado para solución para perfusión,ACETATO SODICO,concentrado para solución para perfusión,ml
ACETATO SODICO 3 g/10 ml solución inyectable,ACETATO SODICO,solución inyectable,ml
ACETATO SODICO 328 mg/ml solución inyectable,ACETATO SODICO,solución inyectable,ml
ACETAZOLAMIDA (sódica) 500 mg polvo para solución inyectable,ACETAZOLAMIDA (sódica),polvo para solución inyectable,ml
ACETAZOLAMIDA 10 % crema,ACETAZOLAMIDA,crema,otro
ACETAZOLAMIDA 250 mg comprimido,ACETAZOLAMIDA,comprimido,pastilla
ACETAZOLAMIDA 500 mg cápsula dura de liberación prolongada,ACETAZOLAMIDA,cápsula dura de liberación prolongada,pastilla
ACETAZOLAMIDA 500 mg polvo y disolvente para solución inyectable,ACETAZOLAMIDA,polvo y disolvente para solución inyectable,ml
ACETILCARNITINA (hidrocloruro) 500 mg comprimido,ACETILCARNITINA (hidrocloruro),comprimido,pastilla
ACETILCARNITINA (hidrocloruro) 500 mg comprimido gastrorresistente,ACETILCARNITINA (hidrocloruro),comprimido gastrorresistente,pastilla
ACETILCISTEINA 1 % solución para pulverización nasal,ACETILCISTEINA,solución para pulverización nasal,ml
